CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
54,"Trần Caro Cell 150x150x0,5mm (đã bao gồm tấm trần, khung xương và phụ kiện)",m2,726.9,"410,000","298,024,818",,,,  727 ,"  410,000 ","  298,024,818 ",,,,,,,,,
55,"Trần nhôm Clip-in, xương chìm, đục lỗ KT 600x600x0,6mm (đã bao gồm tấm trần, khung xương và phụ kiện)",m2,80.9,"420,000","33,975,346",,,,  81 ,"  420,000 ","  33,975,346 ",,,,,,,,,
56,"Trần nhôm Clip-in, xương chìm, không đục lỗ KT 600x600x0,6mm (đã bao gồm tấm trần, khung xương và phụ kiện)",m2,149.5,"420,000","62,809,557",,,,  150 ,"  420,000 ","  62,809,557 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vật tư điện ( có bảng chi tiết ở dưới),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,
,Cộng VL,,,,"4,888,371,451",,,"3,493,161,627",,,"2,370,056,290",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
II,Chi phí chung ,,,,,,,"  240,258,393 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,#REF!,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
III,Nhân công,,,,,,,,,,,,,,,,,,,
,Tháo dỡ hệ thống điện ,công,15.00,"243,700","3,655,500",,,,15.00,"243,700","3,655,500",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Cắt đầu cọc,cái,73.00,"50,000","  3,650,000 ",,,,73.00,"50,000","  3,650,000 ",,,,,,,,,
2,Bê tông bọt chống nóng mái M75,m3,46.40,"50,000","  2,320,130 ",,,,46.40,"50,000","  2,320,130 ",,,,,,,,,
,Xẻ rãnh mũi bậc tam cấp,m,141.84,"25,000","3,546,000",,,,141.84,"25,000","3,546,000",,,,,,,,,
,"Kỹ sư 5,0/8",công,6.00,"341,700","2,050,200",,,,6.00,"341,700","2,050,200",,,,,,,,,
3,"Nhân công 3,0/7 - Nhóm 1",công,99.42,"243,700","24,227,582",,,,99.42,"243,700","24,227,582",,,,,,,,,
4,"Nhân công 3,0/7 - Nhóm 2",công,239.69,"263,800","63,229,853",,,,239.69,"263,800","63,229,853",,276150,,,,,,,
5,"Nhân công 3,5/7 - Nhóm 1",công,174.49,"266,500","46,501,772",,,,174.49,"266,500","46,501,772",,,,,,,,,
6,"Nhân công 3,5/7 - Nhóm 2",công,"4,632.81","288,500","1,336,566,349",,,,"4,632.81","288,500","1,336,566,349",,,,,,,,,
,"Nhân công 4,0/7 - Nhóm 1",công,9.60,"289,300","2,777,916",,,,9.60,"289,300","2,777,916",,,,,,,,,
